id,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,name
105173,18.0,6.0,249.0,136.0,104.0,59.0,40.0,15.0,23.0,Adrian Mannarino
105077,6.0,4.0,142.0,94.0,61.0,26.0,20.0,6.0,10.0,Albert Ramos
126846,15.0,3.0,131.0,74.0,57.0,29.0,21.0,8.0,12.0,Aleksandar Vukic
106109,17.0,6.0,193.0,127.0,83.0,36.0,31.0,5.0,11.0,Alex Bolt
200282,9.0,4.0,234.0,137.0,108.0,55.0,42.0,5.0,11.0,Alex De Minaur
122330,66.0,20.0,265.0,160.0,123.0,48.0,42.0,11.0,18.0,Alexander Bublik
100644,86.0,21.0,496.0,341.0,276.0,83.0,87.0,13.0,23.0,Alexander Zverev
124186,11.0,8.0,164.0,110.0,63.0,22.0,28.0,6.0,19.0,Alexandre Muller
200615,33.0,14.0,300.0,176.0,131.0,66.0,48.0,8.0,17.0,Alexei Popyrin
105379,15.0,3.0,117.0,74.0,55.0,26.0,22.0,4.0,9.0,Aljaz Bedene
104312,7.0,3.0,104.0,53.0,35.0,28.0,18.0,0.0,6.0,Andreas Seppi
105413,6.0,4.0,84.0,56.0,31.0,17.0,13.0,3.0,8.0,Andrej Martin
126094,57.0,9.0,394.0,228.0,181.0,99.0,69.0,17.0,25.0,Andrey Rublev
106234,54.0,20.0,521.0,315.0,232.0,108.0,90.0,28.0,45.0,Aslan Karatsev
105226,6.0,8.0,136.0,72.0,50.0,29.0,19.0,14.0,19.0,Attila Balazs
105332,21.0,23.0,152.0,82.0,54.0,26.0,20.0,15.0,23.0,Benoit Paire
106071,16.0,8.0,170.0,99.0,67.0,27.0,23.0,11.0,18.0,Bernard Tomic
106432,41.0,7.0,200.0,136.0,107.0,34.0,36.0,7.0,13.0,Borna Coric
122298,4.0,6.0,90.0,49.0,35.0,16.0,13.0,7.0,12.0,Botic Van De Zandschulp
111815,25.0,13.0,357.0,250.0,177.0,47.0,58.0,16.0,29.0,Cameron Norrie
207989,9.0,6.0,217.0,131.0,89.0,45.0,34.0,13.0,22.0,Carlos Alcaraz
134770,29.0,12.0,353.0,230.0,169.0,73.0,61.0,22.0,31.0,Casper Ruud
105649,2.0,1.0,75.0,51.0,32.0,7.0,13.0,3.0,9.0,Cedrik Marcel Stebe
106331,22.0,4.0,212.0,129.0,101.0,41.0,32.0,12.0,16.0,Christopher Oconnell
144895,4.0,3.0,261.0,185.0,115.0,43.0,42.0,13.0,23.0,Corentin Moutet
